JMÉNO_ZVÍŘETE;TYP_ZVÍŘETE;GENDER
shivering goat;Donkey;Z
tense puma;Lizard;M
light rodent;Bear;Z
coming clam;Donkey;M
native xerinae;Lion;Z
weak leech;Tiger;Z
eligible tapir;Horse;Z
leading coral;Lizard;M
hissing stork;Dog;M
nosy fish;Lion;Z
happy bison;Bear;Z
magenta koi;Donkey;M
powerful grouse;Fox;Z
quickest angelfish;Fox;M
divine ermine;Bear;Z
brown meadowlark;Horse;Z
concerned goldfish;Tiger;M
established lungfish;Horse;Z
loud camel;Horse;M
lively snake;Lion;Z
resulting bee;Fox;M
breakable clownfish;Tiger;M
worrying seahorse;Cat;Z
visiting turkey;Horse;M
excited donkey;Lizard;M
fancy ladybug;Fox;Z
fiscal catfish;Donkey;M
hollow bovid;Bear;M
chronic caterpillar;Bear;M
wrong lizard;Parrot;M
icy junglefowl;Fox;M
clumsy bobcat;Dog;Z
regulatory piranha;Horse;M
bitter chinchilla;Bear;Z
absent pig;Cat;Z
thorough sparrow;Cat;M
curved guanaco;Parrot;Z
slow earwig;Horse;Z
crooked guanaco;Fox;M
zany pig;Bear;M
striped parakeet;Lizard;Z
persistent leopon;Dog;Z
literary eel;Horse;M
generous dog;Lizard;Z
efficient guppy;Lion;Z
beautiful mite;Bear;Z
biological heron;Donkey;Z
proud marsupial;Fox;M
sensible cephalopod;Parrot;M
willing sparrow;Cat;Z
eventual goldfish;Fox;M
eligible rodent;Fox;M
helpless gamefowl;Tiger;M
residential moth;Donkey;Z
criminal pig;Cat;Z
bright parakeet;Horse;Z
gradual cuckoo;Donkey;Z
smoggy moth;Bear;Z
slim swordfish;Tiger;Z
quiet beaver;Tiger;M
entire toucan;Parrot;Z
unsightly quelea;Cat;M
secure jellyfish;Tiger;Z
grieving mollusk;Donkey;M
kind macaw;Cat;Z
fierce puffin;Bear;Z
integral ptarmigan;Parrot;M
odd cat;Lion;Z
decent albatross;Horse;M
beautiful mosquito;Donkey;M
specific cheetah;Cat;M
compatible wolverine;Donkey;M
adjacent puffin;Lizard;Z
compatible bass;Horse;Z
gross hamster;Tiger;Z
christian python;Dog;M
short yak;Lion;M
classical coral;Tiger;Z
poised rattlesnake;Lizard;M
conscious bass;Cat;M
conceptual pigeon;Horse;M
enthusiastic tern;Dog;Z
ugly kingfisher;Lion;Z
good wildebeest;Parrot;M
literary rat;Parrot;M
environmental lark;Cat;Z
broad spider;Horse;M
charming ape;Horse;M
advanced lemming;Dog;Z
uneven wildebeest;Fox;M
gradual booby;Horse;Z
fierce horse;Tiger;M
atomic pigeon;Parrot;M
sad cuckoo;Horse;Z
incredible jellyfish;Lizard;M
intense hamster;Cat;M
active hornet;Parrot;M
divine mammal;Lizard;Z
arbitrary thrush;Bear;M
fair dolphin;Parrot;M
pale viper;Bear;M
silly porpoise;Fox;Z
inadequate tick;Bear;Z
dry landfowl;Parrot;M
wee amphibian;Lizard;M
blue kingfisher;Horse;Z
weak ferret;Tiger;M
mad landfowl;Dog;M
quiet albatross;Dog;Z
northern ferret;Parrot;M
tremendous dog;Parrot;M
institutional whippet;Donkey;Z
ideal anaconda;Lion;Z
gastric earthworm;Fox;M
average reptile;Bear;M
yellow cardinal;Bear;Z
moaning tick;Bear;M
eventual wildebeest;Donkey;Z
bright mammal;Tiger;M
embarrassing python;Dog;M
fat tapir;Lion;M
pregnant antlion;Dog;M
shy marmoset;Cat;M
strong vicuna;Cat;M
gothic hare;Lion;Z
neighbouring ermine;Dog;Z
whole crow;Parrot;M
embarrassed quelea;Tiger;Z
sharp giraffe;Cat;M
short grasshopper;Bear;M
compact otter;Fox;M
confused baboon;Cat;M
joint swordtail;Lion;Z
hard leopon;Fox;M
historic primate;Dog;Z
added giraffe;Fox;Z
decent butterfly;Cat;Z
creepy puma;Parrot;M
steady rattlesnake;Fox;M
rainy koi;Bear;M
harsh canidae;Dog;M
mechanical piranha;Cat;Z
huge donkey;Dog;M
anxious booby;Fox;M
vast heron;Tiger;Z
high krill;Parrot;Z
steady tarsier;Tiger;Z
firm woodpecker;Dog;M
mad zebra;Lizard;M
accepted gecko;Fox;M
progressive kiwi;Parrot;Z
dirty alpaca;Bear;Z
better porcupine;Tiger;Z
growing tick;Bear;Z
furious beetle;Tiger;Z
handicapped wildebeest;Fox;Z
panicky tiglon;Lion;M
semantic elephant;Tiger;Z
tough guineafowl;Parrot;M
tender skunk;Cat;M
insufficient bovid;Bear;M
realistic canidae;Donkey;M
comparative snake;Donkey;Z
assistant urial;Horse;Z
integral puffin;Dog;Z
chronic llama;Lion;Z
philosophical wren;Cat;Z
ashamed crow;Bear;M
tough nightingale;Dog;Z
bad bison;Bear;Z
low worm;Donkey;Z
traditional wren;Donkey;M
